PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
TECNICO ASISTENCIAL A;831170.00;1.000;11; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
TECNICO ESPECIALIZADO D;1090473.00;1.000;11; ;TÉCNICO DE LABORATORIO EN BIOLOGÍA GENÉTICA                                                                                                                                                                                                                     
PROFESOR INSTRUCTOR                    ;1737547.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;831170.00;1.000;11; ;ASISTENTE DE AGRONOMÍA                                                                                                                                                                                                                                          
PROFESOR INTERINO LICENCIADO           ;904484.00;1.000;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1278544.00;1.000;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1105223.80;0.875;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;653394.75;0.750;3; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;661244.75;0.750;1; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1541469.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;338401.05;0.375;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;238383.25;0.250;4; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;1063141.00;1.000;10; ;TÉCNICO ESPECIALIZADO EN ENSAYOS DE INFRAESTRUCTURAS CIVIL Y VIAL                                                                                                                                                                                               
